url_id,domain,url_length,has_https,ssl_valid,domain_age_days,subdomain_count,special_characters,external_links,forms_count,popup_windows,iframe_usage,redirects_count,suspicious_keywords,favicon_different_domain,dns_record_exists,reported_phishing_count,is_phishing
URL_00025,atqydshlv76.tk,144,True,False,162,5,13,22,2,True,True,4,7,True,True,54,1
URL_00026,f4nnkm95d0p92k.ml,127,False,False,7,4,19,17,5,True,False,4,3,True,False,52,1
URL_00027,fvdhr59c81do6o.cf,70,False,False,64,1,19,12,1,True,True,4,5,True,False,53,1
URL_00028,z1egntb34kuqaaj.ga,92,False,False,75,1,9,15,5,True,True,2,1,True,True,60,1
URL_00029,microsoft.com,57,True,False,2279,1,3,2,1,False,False,0,0,False,True,0,0
URL_00030,apple.com,41,True,True,1018,0,4,4,1,False,True,0,0,False,True,1,0
URL_00031,g6xb1r8vnrpjy9.net,115,True,False,15,0,19,16,4,True,False,4,7,True,False,48,1
URL_00032,su4fcl5efjp6m.xyz,141,True,False,171,3,19,15,4,False,True,2,3,False,False,52,1
URL_00033,apple.com,59,True,True,2507,0,2,1,1,False,False,1,0,False,True,1,0
URL_00034,s1gd1t53y.xyz,102,False,False,134,0,5,20,4,False,True,3,7,True,False,50,1
URL_00035,yydu3asnrm6d.org,61,False,False,49,3,19,13,2,False,True,3,0,True,True,62,1
URL_00036,stackoverflow.com,25,True,True,950,1,2,4,1,False,True,0,0,False,True,3,0
URL_00037,32uy84zz2p6.net,135,True,False,68,2,18,15,3,True,True,3,5,True,False,45,1
URL_00038,amazon.com,57,False,False,492,1,4,3,1,False,False,0,0,False,True,0,0
URL_00039,google.com,31,True,True,2405,0,1,5,2,False,False,2,0,False,True,0,0
URL_00040,github.com,25,False,False,4144,0,4,4,1,False,False,0,0,False,True,0,0
URL_00041,linkedin.com,48,False,False,609,0,4,5,2,False,False,2,0,False,True,1,0
URL_00042,apple.com,48,True,True,4790,0,2,10,0,False,True,0,0,False,True,1,0
URL_00043,fp9s8gk0eeyyl.info,63,True,False,12,3,19,19,1,False,False,1,4,True,False,31,1
URL_00044,amazon.com,42,True,True,3669,0,2,4,1,False,False,0,0,False,True,1,0
URL_00045,microsoft.com,20,True,True,1062,0,2,4,0,False,False,2,0,True,True,2,0
URL_00046,y2c11bd2scejcy.net,124,False,False,52,2,11,10,2,False,True,4,6,True,True,47,1
URL_00047,7h6gmd478.tk,136,True,False,61,2,13,20,4,True,True,3,8,False,True,41,1
URL_00048,fs0iuduahgk6t.net,80,False,False,9,3,9,16,1,True,True,3,6,True,False,33,1
URL_00049,74rzgyd49ps.ml,124,False,False,169,1,16,14,2,True,True,4,4,True,False,62,1
URL_00050,microsoft.com,55,True,True,3558,0,1,6,1,False,False,2,0,False,True,4,0
URL_00051,linkedin.com,49,True,False,1882,1,4,0,1,False,False,0,0,False,True,1,0
URL_00052,microsoft.com,57,True,True,3983,0,1,5,2,False,False,0,0,False,True,1,0
URL_00053,github.com,20,True,True,2584,0,2,1,2,False,False,1,0,False,True,4,0
URL_00054,microsoft.com,52,True,False,1765,0,3,5,0,False,False,0,0,False,True,3,0
URL_00055,stackoverflow.com,47,False,False,1863,0,4,7,0,False,False,0,0,False,True,0,0
URL_00056,rnkzcrnq0y.ga,97,False,False,35,2,13,12,5,True,True,4,7,True,True,55,1
URL_00057,facebook.com,42,True,True,4906,1,2,7,2,False,False,0,0,False,True,0,0
URL_00058,k4gc4ryg9rdpxd.org,111,True,False,134,1,11,15,6,True,False,3,3,True,False,52,1
URL_00059,twitter.com,58,True,True,4405,0,1,6,0,False,False,0,0,False,True,1,0
URL_00060,z906gnhh4oipr1.xyz,78,False,False,160,3,11,21,4,True,True,10,1,True,True,50,1
URL_00061,twitter.com,44,True,True,4821,1,2,5,0,False,False,0,0,False,True,1,0
URL_00062,linkedin.com,29,False,False,559,1,1,6,1,False,True,1,0,False,True,0,0
URL_00063,y89sfqeri7b03ra.org,124,False,False,169,3,15,17,2,False,False,4,3,False,False,53,1
URL_00064,vlkw1xsrqkrst3.cf,142,False,False,14,1,19,18,0,True,True,2,3,True,False,47,1
URL_00065,8bp6nlnq.com,87,False,False,170,1,6,9,2,True,False,1,6,True,False,36,1
URL_00066,u4kzrezrdy.cf,145,False,False,98,0,13,17,6,True,True,2,4,False,True,41,1
URL_00067,stackoverflow.com,51,True,True,3620,0,4,4,3,False,False,0,0,False,True,2,0
URL_00068,youtube.com,54,True,True,4998,0,1,6,1,False,False,0,0,False,True,0,0
URL_00069,github.com,52,True,True,1817,1,2,7,0,False,False,1,0,False,True,0,0
URL_00070,ufcjvny1kcven3v.tk,97,True,False,139,0,17,12,6,False,True,4,4,True,False,47,1
URL_00071,twitter.com,46,True,True,1634,3,1,6,1,False,False,1,0,False,True,1,0
URL_00072,p9ociildy.xyz,90,True,False,60,0,13,13,4,True,False,5,5,True,False,46,1
URL_00073,microsoft.com,46,True,True,3818,1,1,1,0,False,False,0,0,False,True,1,0
URL_00074,gtbxpspaqalul.net,76,False,False,156,2,16,16,3,False,True,3,2,True,True,56,1
URL_00075,github.com,27,True,True,4061,0,1,8,1,False,True,1,0,False,True,1,0
URL_00076,microsoft.com,49,True,True,1736,0,3,5,1,False,False,1,0,False,True,1,0
URL_00077,facebook.com,45,False,False,4647,1,1,6,1,False,False,0,0,False,True,0,0
URL_00078,linkedin.com,43,True,True,1267,0,2,6,0,False,False,1,0,False,True,0,0
URL_00079,github.com,58,True,True,1854,0,3,4,1,False,False,1,0,False,True,2,0
URL_00080,fk8hw9c4hjku2.net,96,False,False,6,0,18,14,5,False,True,4,4,True,True,54,1
URL_00081,vjutpmc3s.xyz,147,False,False,167,3,11,12,2,True,True,0,5,True,False,58,1
URL_00082,xlojsyt5wsgrx3.ga,123,True,False,149,5,10,8,4,False,True,5,3,True,False,50,1
URL_00083,apple.com,25,True,True,3487,0,1,5,0,False,False,0,0,False,True,1,0
URL_00084,70chqi014o46w4.xyz,114,True,True,118,4,10,8,2,True,True,5,4,True,False,54,1
URL_00085,apple.com,44,False,False,4759,0,4,4,1,False,False,0,0,False,True,0,0
URL_00086,amazon.com,21,True,True,4908,2,4,5,0,False,False,1,0,False,True,2,0
URL_00087,apple.com,26,True,True,1584,0,1,6,1,False,False,3,0,False,True,0,0
URL_00088,oegi3qupxbf.org,81,True,False,52,0,12,11,2,False,True,7,5,True,False,49,1
URL_00089,j2xg48ra.net,142,False,False,101,1,9,16,2,True,False,3,3,False,True,51,1
URL_00090,v56onxd70fe07.cf,70,False,False,50,2,18,12,1,False,False,5,6,True,True,45,1
URL_00091,youtube.com,40,True,True,3603,0,3,4,2,False,False,0,0,False,True,1,0
URL_00092,rdv1l30307hd.info,104,False,False,39,2,16,15,1,True,True,3,5,False,True,56,1
URL_00093,pjvrn8lpy857.tk,146,False,False,169,4,19,15,5,True,True,1,8,True,True,50,1
URL_00094,github.com,42,True,True,2664,0,1,5,0,True,False,0,0,False,True,1,0
URL_00095,linkedin.com,37,True,False,3209,0,4,6,1,False,False,1,0,False,True,3,0
URL_00096,a8v4x7y2itl8.tk,94,True,False,21,2,11,18,2,False,True,1,4,True,False,41,1
URL_00097,tipa877k7.info,113,False,False,68,1,12,10,9,True,True,3,5,True,False,53,1
URL_00098,apple.com,37,True,True,1663,0,4,4,1,False,False,2,0,False,True,1,0
URL_00099,4fpl3x2jc2r.ml,75,True,False,118,4,13,11,6,True,True,1,6,True,True,42,1
URL_00100,z533zsmv30qab.org,145,False,False,128,3,13,16,2,True,True,4,10,True,True,59,1
URL_00101,2eowlcfs8314y2l.ga,133,False,False,141,5,6,16,1,False,False,5,4,True,False,51,1
URL_00102,amazon.com,26,True,True,891,1,3,4,2,True,True,1,0,False,True,0,0
URL_00103,gvlkdnon4uaa.cf,103,False,False,123,4,18,11,1,True,True,2,1,True,False,48,1
URL_00104,69hzgopjdn8.net,130,True,False,126,1,11,12,2,False,True,5,3,True,False,51,1
URL_00105,google.com,56,True,True,4036,1,4,4,0,False,False,0,0,False,True,0,0
URL_00106,173rih83j0nphh.xyz,104,False,False,12,5,6,14,5,False,False,2,6,True,True,55,1
URL_00107,pofkjw6nyqa.org,125,False,False,42,1,10,16,4,False,False,7,3,True,False,50,1
URL_00108,9ohnpvcub7qmv.com,88,False,False,103,2,8,16,3,True,True,4,8,False,True,51,1
URL_00109,google.com,52,True,True,1139,0,3,7,0,False,False,0,0,False,True,0,0
URL_00110,apple.com,28,True,False,840,1,1,11,1,False,False,1,0,True,True,2,0
URL_00111,stackoverflow.com,59,True,True,4066,2,3,6,0,False,False,0,0,False,True,0,0
URL_00112,youtube.com,32,True,True,1935,0,1,6,0,False,False,0,0,False,True,2,0
URL_00113,kon8uujs75eltf.net,103,False,False,33,2,7,11,5,True,True,4,5,True,False,60,1
URL_00114,be5407k5w1jl6.tk,100,False,False,143,2,12,12,2,False,True,5,7,True,False,39,1
URL_00115,1f4x2bfibjzp97b.tk,88,False,False,113,0,8,15,0,True,True,2,2,True,False,43,1
URL_00116,stackoverflow.com,44,True,True,4773,1,3,4,1,False,False,1,0,False,True,0,0
URL_00117,qezfmhk403uxh9a.org,121,False,False,130,3,15,18,6,False,False,1,5,True,False,42,1
URL_00118,twitter.com,30,True,True,3252,2,4,8,0,False,False,1,0,False,True,3,0
URL_00119,irdlk9en7.net,115,False,False,174,1,14,18,4,True,True,4,2,True,True,47,1
URL_00120,linkedin.com,37,True,True,2724,0,3,10,0,False,False,1,0,False,True,1,0
URL_00121,bqzrwjxlbw.ga,70,False,False,179,0,7,17,3,True,True,7,3,False,False,49,1
URL_00122,8962e52k20tvd.xyz,130,False,False,71,7,8,17,1,False,True,5,3,True,True,49,1
URL_00123,amazon.com,54,True,True,3439,1,4,9,0,False,False,1,0,False,True,0,0
URL_00124,facebook.com,37,True,True,4998,0,1,3,1,True,False,0,0,False,True,0,0
URL_00125,d4f2k1xerp3lye.net,81,False,False,94,2,18,8,2,False,True,4,4,False,False,35,1
URL_00126,sr5rup13wppbm.ga,90,True,False,37,4,18,13,2,True,True,4,5,True,False,45,1
URL_00127,facebook.com,31,True,True,717,1,3,3,0,False,False,0,0,False,True,1,0
URL_00128,amazon.com,25,True,True,661,0,1,4,0,True,False,1,0,False,True,1,0
URL_00129,github.com,40,True,True,1905,1,1,5,0,False,False,0,0,False,True,0,0
URL_00130,stackoverflow.com,50,False,False,2478,0,3,4,2,True,False,0,0,False,True,0,0
URL_00131,stackoverflow.com,31,True,True,1066,0,2,5,0,False,False,0,0,False,True,1,0
URL_00132,microsoft.com,33,False,False,4368,0,1,4,2,False,False,0,0,False,True,0,0
URL_00133,qc2k9ykiput7.cf,128,True,False,43,1,11,11,2,False,True,2,7,True,False,39,1
URL_00134,microsoft.com,29,True,True,2180,0,2,9,2,False,True,0,0,False,True,4,0
URL_00135,stackoverflow.com,34,False,False,366,0,4,4,3,False,False,0,0,False,True,1,0
URL_00136,oqz3mv1a0q24bo.xyz,104,True,False,154,0,16,19,3,True,True,1,7,True,True,58,1
URL_00137,vqywj85gg0v5d.cf,82,True,False,23,3,9,13,3,True,False,4,13,False,False,60,1
URL_00138,google.com,46,True,True,1053,1,3,4,2,False,False,0,0,False,True,2,0
URL_00139,oaxqox00.xyz,63,True,False,131,2,16,21,5,True,True,5,4,False,False,58,1
URL_00140,youtube.com,51,False,False,4942,0,3,5,0,False,False,0,0,False,True,1,0
URL_00141,y8y2deg3zgarf.info,128,False,False,68,1,15,9,5,True,True,3,8,True,True,55,1
URL_00142,44td1fpe60qraq.info,149,True,False,85,1,15,13,3,False,True,2,7,True,False,51,1
URL_00143,facebook.com,55,True,True,2045,1,2,2,0,False,False,0,0,False,True,2,0
URL_00144,apple.com,39,True,True,4260,0,2,5,1,False,False,1,0,False,True,1,0
URL_00145,youtube.com,41,True,True,687,2,3,5,3,False,True,0,0,False,True,0,0
URL_00146,twitter.com,44,True,True,1850,1,4,4,1,False,False,1,0,True,True,1,0
URL_00147,md4poru0.xyz,124,False,False,100,0,7,16,3,True,True,2,2,True,True,56,1
URL_00148,rrvwy3rz.cf,90,True,False,16,1,7,14,3,False,True,4,7,True,True,61,1
URL_00149,google.com,33,True,True,1915,2,3,8,1,False,True,2,0,False,True,0,0
URL_00150,twitter.com,48,True,True,4375,0,4,6,4,False,False,0,0,True,True,2,0
URL_00151,tjx6ewxqpf0qp.cf,113,False,False,120,1,18,17,2,False,True,3,3,True,False,45,1
URL_00152,facebook.com,20,True,True,4396,1,1,7,3,False,False,1,0,False,True,3,0
URL_00153,74zq50op7xmr8.org,130,False,False,167,2,19,9,5,True,False,6,3,False,True,51,1
URL_00154,youtube.com,58,True,True,2489,0,4,4,1,False,False,0,0,False,True,0,0
URL_00155,k0yehvdo9kh.com,98,True,False,143,0,12,15,3,True,True,5,2,False,False,48,1
URL_00156,google.com,36,False,False,1031,0,2,4,0,False,False,1,0,False,True,0,0
URL_00157,5mf36bcpweijm.tk,96,False,False,163,1,9,17,1,True,False,0,4,True,True,49,1
URL_00158,google.com,37,False,False,3154,1,3,5,1,True,False,0,0,False,True,0,0
URL_00159,stackoverflow.com,34,True,True,1583,0,3,3,0,False,False,0,0,False,True,0,0
URL_00160,apple.com,33,True,True,1744,0,2,5,3,False,False,0,0,False,True,0,0
URL_00161,amazon.com,49,True,True,3943,1,1,4,1,False,False,1,0,False,True,2,0
URL_00162,z7pq4ddv2.net,117,False,False,15,3,12,19,4,False,True,8,4,True,True,49,1
URL_00163,sgehn0z1.ga,125,False,False,128,5,13,20,2,False,True,9,8,True,True,52,1
URL_00164,fn3eh81a4.ga,147,True,True,38,1,12,15,5,False,True,2,3,False,True,48,1
URL_00165,kgjzowi1t2ep7.ga,110,False,False,41,1,12,17,1,True,True,3,8,True,False,57,1
URL_00166,7p1zscmo1pob7.org,120,False,False,114,1,5,12,2,False,False,4,11,True,False,59,1
URL_00167,youtube.com,38,True,True,3846,2,4,5,0,True,False,0,0,False,True,3,0
URL_00168,google.com,27,True,True,3137,0,3,4,1,False,False,0,0,False,True,2,0
URL_00169,stackoverflow.com,52,True,True,3158,1,4,7,0,False,False,2,0,False,True,1,0
URL_00170,p5z5zlm36vfo.info,80,False,False,80,2,18,19,3,True,True,5,6,True,False,39,1
URL_00171,stackoverflow.com,23,True,True,640,1,2,4,1,True,False,0,0,False,True,2,0
URL_00172,youtube.com,36,True,True,3757,1,1,8,1,False,False,0,0,False,True,2,0
URL_00173,youtube.com,28,True,True,3180,0,1,4,2,True,False,1,0,False,True,0,0
URL_00174,z52ohkbm00e9kdt.cf,145,False,False,92,1,15,16,3,False,True,4,7,False,True,50,1
URL_00175,1fb2vi109dcnw.tk,122,False,False,8,2,5,14,3,False,True,5,5,True,False,44,1
URL_00176,microsoft.com,42,True,True,3490,0,1,4,1,False,True,0,0,False,True,0,0
URL_00177,17quami0.cf,60,False,False,97,1,9,13,3,False,True,5,2,True,True,50,1
URL_00178,mk2zyzsilu3.tk,138,True,False,160,0,9,19,5,True,False,2,5,False,True,46,1
URL_00179,github.com,35,True,True,2594,0,1,4,0,False,False,0,0,False,True,2,0
URL_00180,microsoft.com,25,True,True,1022,1,3,3,1,False,False,0,0,False,True,1,0
URL_00181,amazon.com,37,True,True,4946,0,4,3,1,False,False,0,0,False,True,0,0
URL_00182,twitter.com,21,True,True,868,3,3,5,1,False,False,0,0,False,True,0,0
URL_00183,cc5rqnsvsojrpp.ga,96,False,False,92,5,7,12,0,True,True,4,4,True,False,57,1
URL_00184,twitter.com,50,True,True,1130,0,4,7,2,False,False,1,0,False,True,1,0
URL_00185,amazon.com,53,True,True,4600,0,1,3,0,True,False,0,0,False,True,2,0
URL_00186,amazon.com,44,True,True,639,0,1,3,0,False,True,0,0,False,True,3,0
URL_00187,rq8stzqbfu.net,138,False,False,78,1,6,11,0,True,True,0,4,True,False,45,1
URL_00188,youtube.com,51,True,True,1152,2,3,8,2,False,False,0,0,False,True,0,0
URL_00189,dnkseknkbf2p7k.xyz,131,True,False,111,4,16,12,4,False,False,6,9,False,False,46,1
URL_00190,g0atcbrlqmn.org,129,False,False,24,1,15,19,2,False,False,5,7,True,False,38,1
URL_00191,amazon.com,50,True,True,2298,1,4,5,1,False,True,0,0,False,True,0,0
URL_00192,1yf0dwwn6mbypjd.org,122,True,True,121,0,12,14,2,True,True,6,5,True,True,52,1
URL_00193,u2zueugw.com,109,True,False,157,1,8,20,2,True,True,7,3,False,False,41,1
URL_00194,youtube.com,47,False,False,3617,2,4,4,0,False,False,1,0,False,True,0,0
URL_00195,stackoverflow.com,58,True,True,2766,0,2,8,1,True,False,1,0,False,True,0,0
URL_00196,facebook.com,20,True,True,3058,1,4,1,0,False,False,1,0,False,True,3,0
URL_00197,github.com,54,True,True,2961,0,3,12,1,False,False,0,0,False,True,0,0
URL_00198,stackoverflow.com,42,True,True,4694,2,4,5,1,False,False,0,0,False,True,1,0
URL_00199,e7ga2iz5.ga,128,False,False,45,5,15,14,5,True,False,4,3,False,True,30,1
URL_00200,microsoft.com,23,True,True,2772,0,4,4,1,False,False,2,0,False,True,3,0
URL_00201,stackoverflow.com,24,True,False,2638,0,1,8,2,False,False,0,0,False,True,1,0
URL_00202,ob5apo4ljedgf.xyz,73,False,False,23,1,17,15,3,False,True,6,6,True,False,43,1
URL_00203,f8yc8gzkd.org,149,False,False,93,1,12,11,1,True,False,5,7,True,False,48,1
URL_00204,twitter.com,22,True,True,638,0,3,3,0,False,False,1,0,False,True,1,0
URL_00205,linkedin.com,56,True,True,2258,1,2,5,1,True,True,0,0,False,True,0,0
URL_00206,n3eh1vr1necq.ml,125,False,False,67,3,13,10,2,False,True,4,6,True,True,48,1
URL_00207,microsoft.com,54,True,True,3391,0,1,7,1,False,False,0,0,False,True,1,0
URL_00208,github.com,40,True,True,1778,0,4,4,1,False,False,0,0,True,True,1,0
URL_00209,google.com,43,True,True,691,2,2,5,2,False,False,0,0,False,True,0,0
URL_00210,twitter.com,39,True,True,1853,0,1,2,0,False,False,0,0,False,True,2,0
URL_00211,6atvd1xeuq4.cf,111,True,False,2,3,14,13,3,True,False,4,10,True,False,58,1
URL_00212,facebook.com,26,True,True,1306,0,3,8,3,False,False,0,0,False,True,2,0
URL_00213,amazon.com,46,True,True,2121,1,3,2,1,True,True,0,0,True,True,1,0
URL_00214,tgi88tb38wxgc.ga,101,False,False,165,2,17,4,1,True,True,3,4,True,False,55,1
URL_00215,v4nmwvsb0uko.net,100,True,False,30,0,13,16,6,True,True,1,4,True,False,57,1
URL_00216,095hs258w9.ga,121,True,True,50,3,17,15,4,True,True,4,7,True,True,46,1
URL_00217,i9mqvayxar6y.ml,82,True,False,2,3,15,13,4,True,True,4,7,True,False,69,1
URL_00218,stackoverflow.com,30,True,True,2062,3,1,6,2,False,True,1,0,False,True,0,0
URL_00219,1t2xcb3yym33mg1.com,84,False,False,15,1,16,16,3,False,False,4,6,True,True,49,1
URL_00220,q7qhak7md.xyz,62,False,False,101,1,10,12,4,True,True,1,6,True,True,45,1
URL_00221,irnk6zhh3o5.cf,93,True,True,151,1,18,20,4,True,True,5,6,True,False,49,1
URL_00222,gg0yvgv0e7450j4.com,133,False,False,20,6,10,20,1,False,False,6,8,True,True,48,1
URL_00223,y5apyx4l4oes.ga,85,True,False,59,3,14,14,5,True,True,2,5,True,False,57,1
URL_00224,sbzb7tlom539i.ml,116,False,False,82,3,9,23,2,True,False,6,8,True,True,43,1
URL_00225,microsoft.com,55,True,True,1247,1,3,2,1,False,True,0,0,False,True,1,0
URL_00226,hlcwbpa274i.ga,118,False,False,169,1,7,13,3,True,True,5,1,True,True,43,1
URL_00227,facebook.com,59,True,True,1042,1,2,3,5,False,True,2,0,False,True,1,0
URL_00228,33sicvpdqe97n.net,149,True,False,141,0,10,15,3,False,True,3,6,True,True,57,1
URL_00229,amazon.com,49,False,False,4161,0,4,4,2,False,True,1,0,False,True,1,0
URL_00230,google.com,49,True,True,2864,2,1,3,2,False,False,0,0,False,True,2,0
URL_00231,bvpdcb4owo52wqq.ml,115,False,False,158,3,10,15,0,False,True,3,4,True,False,50,1
URL_00232,youtube.com,58,True,True,2643,0,1,4,2,True,False,0,0,False,True,2,0
URL_00233,m72qlgdvc.info,63,False,False,25,4,6,18,5,False,True,2,6,False,True,56,1
URL_00234,youtube.com,25,True,True,4093,1,2,3,2,False,False,0,0,False,True,1,0
URL_00235,amazon.com,40,True,True,1779,0,2,5,1,False,False,0,0,False,True,1,0
URL_00236,stackoverflow.com,31,False,False,4335,0,3,7,3,False,False,1,0,False,True,0,0
URL_00237,mrwgebevsxmv.cf,129,False,False,106,3,18,19,2,False,True,3,8,False,False,47,1
URL_00238,amazon.com,52,True,True,584,2,2,4,2,False,False,2,0,False,True,2,0
URL_00239,amazon.com,29,True,True,904,0,3,3,1,False,False,0,0,False,True,1,0
URL_00240,github.com,41,True,True,3682,1,4,8,1,False,True,0,0,False,True,3,0
URL_00241,vk8sxfi3ubm9.info,118,False,False,39,1,12,12,3,True,True,6,4,True,True,51,1
URL_00242,myz9vlu8w.ml,67,False,False,26,1,15,11,2,True,False,3,3,False,False,65,1
URL_00243,linkedin.com,50,True,True,3961,0,2,3,2,False,False,0,0,False,True,0,0
URL_00244,amazon.com,42,True,True,569,0,1,4,2,False,False,1,0,False,True,2,0
URL_00245,q2bhaiiwi.tk,76,False,False,11,2,10,16,3,True,False,2,4,False,False,54,1
URL_00246,twitter.com,55,True,True,1201,0,1,8,2,False,False,0,0,False,True,2,0
URL_00247,facebook.com,32,True,True,4629,0,1,3,1,False,False,2,0,False,True,1,0
URL_00248,twitter.com,33,True,True,1310,0,2,7,1,False,False,0,0,False,True,3,0
URL_00249,amazon.com,27,True,True,4140,1,1,5,0,False,False,0,0,False,True,3,0
URL_00250,ncbekgv1.com,60,False,False,126,1,10,13,2,False,True,8,8,True,True,42,1
URL_00251,hkhjg4ih.org,70,False,False,66,1,17,10,3,True,True,4,4,True,True,42,1
URL_00252,6ayn2d7ki3x7.ml,139,True,False,18,3,17,13,2,True,False,7,5,True,False,54,1
URL_00253,microsoft.com,49,True,True,4908,0,1,3,0,False,False,1,0,False,True,0,0
URL_00254,f72gnnv9i.com,71,False,False,21,0,7,11,2,True,True,2,4,False,False,46,1
URL_00255,youtube.com,32,False,False,538,0,2,9,2,False,False,1,0,False,True,2,0
URL_00256,4kfiwkesvr0.ga,81,False,False,73,1,18,11,4,True,True,6,4,True,False,53,1
URL_00257,gn51nsgzs.ga,126,False,False,136,4,5,18,3,True,True,3,5,False,True,54,1
URL_00258,ruw2xh6qihpnf4j.net,71,False,False,151,4,5,15,5,True,False,6,6,True,False,53,1
URL_00259,amazon.com,42,True,True,4881,0,2,6,1,False,True,0,0,False,True,0,0
URL_00260,microsoft.com,51,False,False,4280,0,2,8,0,False,True,1,0,False,True,0,0
URL_00261,qmvqwpqo2lng.info,60,False,False,52,0,11,10,3,True,False,4,6,True,False,60,1
URL_00262,xmc4sx27dcbh.info,87,False,False,46,2,17,17,2,False,True,1,5,True,False,47,1
URL_00263,linkedin.com,43,False,False,2313,1,1,7,0,True,False,1,0,False,True,0,0
URL_00264,apple.com,29,False,False,1836,0,1,3,2,False,False,0,0,True,True,0,0
URL_00265,014gve4ztj1k.tk,68,False,False,20,2,5,10,2,False,True,5,7,True,False,55,1
URL_00266,twitter.com,55,True,True,4074,0,2,2,1,False,True,0,0,False,True,0,0
URL_00267,twitter.com,49,True,True,515,0,1,11,0,False,False,0,0,False,True,2,0
URL_00268,youtube.com,38,True,True,923,0,4,3,1,False,True,1,0,False,True,3,0
URL_00269,qs1foi0r.cf,135,False,False,174,3,19,19,2,True,True,4,7,True,False,50,1
URL_00270,youtube.com,29,True,True,2319,1,1,5,0,False,False,0,0,True,True,2,0
URL_00271,stackoverflow.com,44,True,True,4056,0,1,6,0,False,False,0,0,False,True,0,0
URL_00272,github.com,25,True,True,4906,0,3,3,0,False,False,0,0,False,True,1,0
URL_00273,github.com,50,True,True,3086,1,1,8,1,False,True,1,0,False,True,3,0
URL_00274,linkedin.com,57,True,True,2174,0,2,5,1,False,True,2,0,False,True,1,0
URL_00275,lg1zhqunu.org,100,True,False,87,1,7,14,3,True,False,3,3,False,False,46,1
URL_00276,7a34mpyo2tla.com,138,True,False,37,1,16,14,3,True,True,6,3,True,False,50,1
URL_00277,f8lwvv59ho.cf,98,True,False,130,3,17,13,2,False,True,4,3,True,False,33,1
URL_00278,twitter.com,30,True,True,3593,1,4,4,1,False,True,1,0,False,True,0,0
URL_00279,facebook.com,53,True,True,2393,0,3,2,1,False,True,0,0,False,True,1,0
URL_00280,duq6ddtbyrgc8ki.cf,142,False,False,115,2,13,10,1,True,True,4,6,True,False,64,1
URL_00281,qnal6o9ep.net,143,False,False,157,1,10,15,6,False,False,1,3,True,True,48,1
URL_00282,twitter.com,22,True,True,987,2,3,3,3,False,False,0,0,False,True,2,0
URL_00283,facebook.com,30,True,True,1884,0,4,5,1,False,False,1,0,False,False,2,0
URL_00284,amazon.com,36,True,True,913,0,3,5,0,False,False,0,0,False,True,0,0
URL_00285,l3xfulhzqh9.ga,117,True,False,155,3,9,13,2,True,True,8,3,True,True,54,1
URL_00286,3vilurqbd.ga,62,False,False,143,1,19,17,3,False,False,3,6,True,False,48,1
